SFO,MMH,66,240,262
SFO,BFL,72,243,1285
SFO,CEC,91,261,348
SFO,OTH,91,414,477
LSE,ORD,68,243,2202
SJU,STT,34,139,1386
LIT,DAL,62,211,2009
SIT,JNU,41,199,1395
ISP,BWI,65,235,2972
RST,MSP,47,176,794
MCI,STL,56,143,2387
MCI,LNK,51,130,1
SWF,DTW,100,253,38
LAR,DEN,48,158,1110
MEI,PIB,33,101,889
AVL,ATL,56,279,3659
MSO,SLC,89,256,1995
SUX,ORD,97,300,1180
CWA,MSP,61,193,50
HLN,DEN,112,338,656
CLT,MDT,91,265,246
SCE,DTW,71,303,416
DHN,ATL,57,173,2485
BNA,ATL,64,203,6411
EKO,SLC,55,210,1035
SJC,BUR,60,191,4134
EAU,ORD,76,217,1270
BZN,SLC,78,326,2113
GPT,ATL,77,226,2804
CMX,ORD,86,420,1234
PLN,DTW,70,338,1461
ABQ,DEN,75,217,3202
TUS,PHX,51,173,2286
TRI,ATL,63,313,3818
BJI,MSP,61,152,1329
SPI,ORD,60,223,1910
SGU,SLC,67,300,2381
GSP,ATL,54,241,4901
GNV,ATL,74,269,4137
LWS,SLC,88,314,1174
CPR,DEN,64,257,1864
AKN,ANC,59,192,126
ITO,HNL,53,149,9571
GUC,DEN,56,213,525
JFK,BUF,82,214,4796
JFK,MVY,59,185,242
JFK,HYA,61,187,163
JFK,PSE,230,667,649
ABE,DTW,93,313,1383
BWI,BDL,67,207,4292
BWI,BUF,66,222,3531
BWI,CHS,91,244,2000
BWI,DAY,81,244,1354
EYW,MIA,46,166,1070
STL,OKC,81,216,829
ELM,DTW,76,192,2824
LAN,DTW,47,161,857
SLC,DEN,85,238,11938
SLC,SUN,57,161,1204
SLC,GJT,63,207,1234
SLC,GCC,86,223,660
SLC,TWF,52,236,1611
SLC,WYS,67,238,415
SLC,BTM,78,328,1287
SLC,RDM,97,331,1186
PHX,FLG,51,155,3217
PHX,LGB,92,256,2
FAI,ANC,60,265,996
BHM,ATL,53,198,6385
MLB,ATL,89,411,2649
MLI,ORD,56,252,3049
MVY,BOS,40,167,168
OTZ,ANC,92,259,961
MKE,ORD,49,130,9192
BTV,LGA,74,218,88
MOT,DEN,112,327,2004
DTW,CLE,51,130,1288
DTW,FWA,55,147,1941
DTW,MBS,50,153,864
DTW,ERI,62,155,196
DTW,IND,67,203,1473
DTW,LEX,75,220,977
PSG,JNU,43,119,654
FAR,MSP,63,270,3419
PDX,BOI,76,270,121
FNT,ORD,66,166,3539
JNU,GST,32,97,150
JNU,YAK,51,193,650
RAP,DEN,73,261,1127
ORH,MCO,166,624,634
TPA,MIA,63,208,3969
RHI,MSP,63,298,1321
JMS,DEN,109,308,777
JMS,DVL,42,194,721
CDV,YAK,49,194,652
CDV,ANC,47,193,654
BQN,MCO,161,637,880
SGF,ORD,97,335,3868
EVV,ORD,77,217,3300
HNL,PPG,334,884,213
MCO,ATL,88,254,16292
MCO,MIA,65,167,6024
BOS,ACK,46,169,232
MKG,ORD,56,163,1235
BIS,MSP,85,226,2976
PUB,DEN,48,165,508
MSP,DLH,55,175,1213
MSP,FSD,62,242,2525
MSP,ABR,70,255,1320
MSP,GRB,67,265,2099
MSP,GFK,75,302,1427
ATL,TLH,63,197,4177
ATL,ECP,65,225,4020
ATL,VPS,69,228,4376
ATL,TYS,55,230,3395
ATL,SRQ,90,343,3847
ALO,ORD,70,306,1166
COS,DEN,44,154,4055
DLG,ANC,64,256,154
SAF,DEN,73,288,573
ANC,ADK,175,485,177
GTF,DEN,114,322,1514
ASE,DEN,52,168,2045
STC,ORD,93,331,154
HDN,DEN,60,193,183
DSM,ORD,78,271,6026
TOL,ORD,64,169,1798
COD,DEN,89,310,605
DEN,BIL,88,258,2188
DEN,HYS,71,284,1118
